"Calendar year","Age group","RoadUser_Group","Sum(Hospitalisations)"
2015,"0-7","Car driver",3
2015,"0-7","Car passenger",343
2015,"0-7","Motorcyclist",37
2015,"0-7","Other",26
2015,"0-7","Pedal cyclist",220
2015,"0-7","Pedestrian",121
2015,"8-16","Car driver",59
2015,"8-16","Car passenger",626
2015,"8-16","Motorcyclist",466
2015,"8-16","Other",84
2015,"8-16","Pedal cyclist",935
2015,"8-16","Pedestrian",269
2015,"17-25","Car driver",2918
2015,"17-25","Car passenger",1296
2015,"17-25","Motorcyclist",2064
2015,"17-25","Other",409
2015,"17-25","Pedal cyclist",748
2015,"17-25","Pedestrian",447
2015,"26-39","Car driver",3186
2015,"26-39","Car passenger",904
2015,"26-39","Motorcyclist",2322
2015,"26-39","Other",534
2015,"26-39","Pedal cyclist",1539
2015,"26-39","Pedestrian",492
2015,"40-64","Car driver",3853
2015,"40-64","Car passenger",988
2015,"40-64","Motorcyclist",3097
2015,"40-64","Other",867
2015,"40-64","Pedal cyclist",2730
2015,"40-64","Pedestrian",664
2015,"65-74","Car driver",1022
2015,"65-74","Car passenger",378
2015,"65-74","Motorcyclist",226
2015,"65-74","Other",184
2015,"65-74","Pedal cyclist",400
2015,"65-74","Pedestrian",255
2015,"75+","Car driver",1122
2015,"75+","Car passenger",423
2015,"75+","Motorcyclist",86
2015,"75+","Other",216
2015,"75+","Pedal cyclist",144
2015,"75+","Pedestrian",379
2016,"0-7","Car driver",4
2016,"0-7","Car passenger",314
2016,"0-7","Motorcyclist",27
2016,"0-7","Other",59
2016,"0-7","Pedal cyclist",202
2016,"0-7","Pedestrian",130
2016,"8-16","Car driver",50
2016,"8-16","Car passenger",605
2016,"8-16","Motorcyclist",428
2016,"8-16","Other",86
2016,"8-16","Pedal cyclist",993
2016,"8-16","Pedestrian",314
2016,"17-25","Car driver",3204
2016,"17-25","Car passenger",1466
2016,"17-25","Motorcyclist",2199
2016,"17-25","Other",438
2016,"17-25","Pedal cyclist",713
2016,"17-25","Pedestrian",454
2016,"26-39","Car driver",3496
2016,"26-39","Car passenger",932
2016,"26-39","Motorcyclist",2424
2016,"26-39","Other",540
2016,"26-39","Pedal cyclist",1540
2016,"26-39","Pedestrian",519
2016,"40-64","Car driver",4156
2016,"40-64","Car passenger",990
2016,"40-64","Motorcyclist",3101
2016,"40-64","Other",957
2016,"40-64","Pedal cyclist",2826
2016,"40-64","Pedestrian",719
2016,"65-74","Car driver",1120
2016,"65-74","Car passenger",350
2016,"65-74","Motorcyclist",263
2016,"65-74","Other",212
2016,"65-74","Pedal cyclist",480
2016,"65-74","Pedestrian",252
2016,"75+","Car driver",1164
2016,"75+","Car passenger",446
2016,"75+","Motorcyclist",84
2016,"75+","Other",201
2016,"75+","Pedal cyclist",150
2016,"75+","Pedestrian",355
2017,"0-7","Car driver",3
2017,"0-7","Car passenger",344
2017,"0-7","Motorcyclist",35
2017,"0-7","Other",34
2017,"0-7","Pedal cyclist",190
2017,"0-7","Pedestrian",134
2017,"8-16","Car driver",62
2017,"8-16","Car passenger",623
2017,"8-16","Motorcyclist",442
2017,"8-16","Other",80
2017,"8-16","Pedal cyclist",991
2017,"8-16","Pedestrian",300
2017,"17-25","Car driver",3239
2017,"17-25","Car passenger",1402
2017,"17-25","Motorcyclist",2163
2017,"17-25","Other",456
2017,"17-25","Pedal cyclist",788
2017,"17-25","Pedestrian",420
2017,"26-39","Car driver",3460
2017,"26-39","Car passenger",934
2017,"26-39","Motorcyclist",2478
2017,"26-39","Other",553
2017,"26-39","Pedal cyclist",1570
2017,"26-39","Pedestrian",513
2017,"40-64","Car driver",4221
2017,"40-64","Car passenger",966
2017,"40-64","Motorcyclist",3202
2017,"40-64","Other",905
2017,"40-64","Pedal cyclist",2897
2017,"40-64","Pedestrian",746
2017,"65-74","Car driver",1096
2017,"65-74","Car passenger",381
2017,"65-74","Motorcyclist",336
2017,"65-74","Other",203
2017,"65-74","Pedal cyclist",486
2017,"65-74","Pedestrian",275
2017,"75+","Car driver",1186
2017,"75+","Car passenger",452
2017,"75+","Motorcyclist",83
2017,"75+","Other",210
2017,"75+","Pedal cyclist",154
2017,"75+","Pedestrian",326
2018,"0-7","Car driver",3
2018,"0-7","Car passenger",348
2018,"0-7","Motorcyclist",34
2018,"0-7","Other",25
2018,"0-7","Pedal cyclist",184
2018,"0-7","Pedestrian",130
2018,"8-16","Car driver",60
2018,"8-16","Car passenger",680
2018,"8-16","Motorcyclist",377
2018,"8-16","Other",74
2018,"8-16","Pedal cyclist",945
2018,"8-16","Pedestrian",286
2018,"17-25","Car driver",3328
2018,"17-25","Car passenger",1387
2018,"17-25","Motorcyclist",1992
2018,"17-25","Other",464
2018,"17-25","Pedal cyclist",712
2018,"17-25","Pedestrian",426
2018,"26-39","Car driver",3615
2018,"26-39","Car passenger",932
2018,"26-39","Motorcyclist",2536
2018,"26-39","Other",612
2018,"26-39","Pedal cyclist",1541
2018,"26-39","Pedestrian",500
2018,"40-64","Car driver",4185
2018,"40-64","Car passenger",978
2018,"40-64","Motorcyclist",3246
2018,"40-64","Other",965
2018,"40-64","Pedal cyclist",2872
2018,"40-64","Pedestrian",727
2018,"65-74","Car driver",1172
2018,"65-74","Car passenger",390
2018,"65-74","Motorcyclist",352
2018,"65-74","Other",187
2018,"65-74","Pedal cyclist",510
2018,"65-74","Pedestrian",265
2018,"75+","Car driver",1232
2018,"75+","Car passenger",491
2018,"75+","Motorcyclist",86
2018,"75+","Other",219
2018,"75+","Pedal cyclist",195
2018,"75+","Pedestrian",327
2019,"0-7","Car driver",5
2019,"0-7","Car passenger",316
2019,"0-7","Motorcyclist",34
2019,"0-7","Other",23
2019,"0-7","Pedal cyclist",203
2019,"0-7","Pedestrian",123
2019,"8-16","Car driver",52
2019,"8-16","Car passenger",603
2019,"8-16","Motorcyclist",462
2019,"8-16","Other",52
2019,"8-16","Pedal cyclist",1041
2019,"8-16","Pedestrian",285
2019,"17-25","Car driver",3063
2019,"17-25","Car passenger",1294
2019,"17-25","Motorcyclist",2158
2019,"17-25","Other",428
2019,"17-25","Pedal cyclist",731
2019,"17-25","Pedestrian",428
2019,"26-39","Car driver",3488
2019,"26-39","Car passenger",924
2019,"26-39","Motorcyclist",2476
2019,"26-39","Other",633
2019,"26-39","Pedal cyclist",1589
2019,"26-39","Pedestrian",531
2019,"40-64","Car driver",4298
